
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
393,Terry Rozier\roziete01,PG,24,BOS,41,4,933,6.7,17.5,.383,3.1,8.6,.355,3.6,8.9,.409,2.2,2.8,.778,1.1,7.5,8.6,6.0,1.9,0.6,1.7,2.9,18.7,,107,106
394,Ricky Rubio\rubiori01,PG,28,UTA,40,40,1168,7.5,18.7,.400,2.3,6.9,.337,5.2,11.9,.436,3.9,4.6,.847,0.6,5.2,5.9,10.2,2.2,0.4,5.0,4.5,21.1,,99,107
395,D'Angelo Russell\russeda01,PG,22,BRK,43,43,1261,11.9,27.9,.429,4.0,11.2,.356,8.0,16.7,.477,2.6,3.2,.817,0.8,5.5,6.3,10.5,1.9,0.5,4.9,2.7,30.5,,104,112
396,Domantas Sabonis\sabondo01,C,22,IND,40,5,1021,11.5,18.6,.622,0.2,0.3,.714,11.3,18.2,.620,5.9,7.6,.774,5.1,13.6,18.6,5.8,1.2,1.0,4.5,5.9,29.2,,122,103
397,Dario Saric\saricda01,PF,24,TOT,41,14,1046,7.0,16.6,.419,2.6,7.8,.333,4.3,8.8,.495,3.0,3.4,.867,2.7,8.0,10.8,3.1,1.0,0.3,2.5,4.3,19.5,,107,113
397,Dario Saric\saricda01,PF,24,PHI,13,13,396,5.7,15.8,.364,2.5,8.4,.300,3.2,7.4,.435,3.2,3.6,.900,2.5,7.8,10.3,3.1,0.5,0.4,3.0,4.7,17.2,,98,113
397,Dario Saric\saricda01,PF,24,MIN,28,1,650,7.7,17.1,.450,2.7,7.5,.356,5.0,9.6,.523,2.8,3.3,.844,2.9,8.2,11.1,3.0,1.3,0.2,2.1,4.1,20.9,,113,112
398,Tomas Satoransky\satorto01,SG,27,WAS,43,17,948,5.6,11.2,.496,1.5,3.6,.408,4.1,7.7,.536,2.8,3.4,.824,1.5,4.3,5.8,7.5,2.0,0.4,2.5,4.3,15.4,,120,115
399,Dennis Schroder\schrode01,PG,25,OKC,40,10,1174,9.2,22.7,.407,2.1,6.6,.313,7.2,16.1,.446,3.7,4.4,.829,0.8,5.1,5.9,7.0,1.5,0.3,4.1,3.8,24.2,,99,107
400,Mike Scott\scottmi01,PF,30,LAC,41,0,602,5.5,14.5,.377,2.9,8.3,.352,2.5,6.2,.410,0.8,1.3,.625,1.7,9.7,11.3,2.8,1.3,0.6,1.7,5.5,14.6,,100,111
