Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
250,Reggie Theus\theusre01,SG,22,CHI,82,,3029,8.8,18.2,.483,0.4,1.6,.267,8.4,16.6,.504,7.8,9.3,.838,2.2,2.9,5.1,8.0,1.8,0.3,5.4,4.1,25.8,,108,109
251,David Thompson*\thompda01,SG,25,DEN,39,,1239,10.8,23.0,.468,0.3,0.7,.368,10.5,22.3,.472,9.5,12.5,.758,2.1,4.4,6.5,4.6,1.5,1.4,4.3,4.0,31.3,,108,109
252,Rudy Tomjanovich\tomjaru01,PF,31,HOU,62,,1834,9.6,20.1,.476,0.6,2.0,.278,9.0,18.1,.498,3.1,3.8,.803,3.4,5.8,9.3,2.8,0.8,0.3,2.5,4.2,22.8,,110,110
253,Bernard Toone\toonebe01,PF,23,PHI,23,,124,8.6,24.1,.359,0.4,2.6,.143,8.3,21.4,.386,3.0,3.8,.800,4.5,8.3,12.8,4.5,1.5,1.9,6.0,7.5,20.7,,82,100
254,Raymond Townsend\townsra01,SG,24,GSW,75,,1159,7.0,17.3,.406,0.2,1.1,.154,6.9,16.3,.423,2.5,3.5,.714,1.4,2.3,3.7,4.8,2.5,0.2,2.7,4.7,16.7,,93,108
255,Dave Twardzik\twardda01,PG,29,POR,67,,1594,5.6,12.0,.464,0.1,0.2,.571,5.5,11.8,.463,6.0,7.7,.782,1.6,3.2,4.8,8.3,2.4,0.0,4.0,4.6,17.3,,109,106
256,Terry Tyler\tylerte01,SF,23,DET,82,,2670,7.2,15.5,.465,0.0,0.2,.167,7.2,15.3,.469,2.4,3.1,.765,3.8,6.7,10.5,2.2,1.8,3.7,2.9,4.0,16.9,,100,106
257,Wes Unseld*\unselwe01,C,33,WSB,82,,2973,5.1,10.0,.513,0.0,0.0,.500,5.1,10.0,.513,2.2,3.3,.665,5.3,12.0,17.2,5.8,1.0,1.0,2.4,3.9,12.5,,114,103
258,Jan van Breda Kolff\vanbrja01,SF,28,NJN,82,,2399,4.0,8.6,.463,0.1,0.4,.350,3.9,8.3,.468,2.5,2.9,.839,1.9,6.2,8.1,4.7,1.9,1.4,3.0,5.8,10.6,,100,102
259,Andre Wakefield\wakefan01,SG,25,UTA,8,,47,6.3,15.7,.400,0.0,0.0,,6.3,15.7,.400,3.1,3.1,1.000,0.0,4.2,4.2,3.1,1.0,0.0,8.4,13.6,15.7,,67,113
260,Foots Walker\walkefo01,PG,28,CLE,76,,2422,4.8,10.7,.454,0.0,0.2,.111,4.8,10.5,.460,3.7,4.6,.802,1.5,3.9,5.4,11.4,2.9,0.2,2.9,3.8,13.4,,113,106
261,Wally Walker\walkewa01,SF,25,SEA,70,,844,7.8,15.3,.507,0.0,0.0,,7.8,15.3,.507,2.7,3.6,.750,3.6,5.9,9.5,3.0,1.2,0.2,2.8,5.7,18.2,,108,103
262,Bill Walton*\waltobi01,C,27,SDC,14,,337,11.4,22.6,.503,0.0,0.0,,11.4,22.6,.503,4.5,7.6,.593,3.9,13.8,17.7,4.8,1.1,5.3,5.2,5.2,27.3,,101,101
263,Lloyd Walton\waltoll01,PG,26,MIL,76,,1243,4.1,9.1,.455,0.0,0.1,.333,4.1,9.0,.456,1.8,2.7,.690,1.2,2.2,3.4,10.7,1.6,0.1,4.2,2.6,10.2,,98,107
264,Kermit Washington\washike01,PF,28,POR,80,,2657,7.7,13.9,.553,0.0,0.1,.000,7.7,13.9,.555,4.2,6.6,.642,6.0,9.5,15.4,3.1,1.3,2.4,3.1,5.6,19.7,,115,102
265,Richard Washington\washiri01,PF,24,MIL,75,,1092,8.5,18.1,.468,0.0,0.0,,8.5,18.1,.468,2.0,3.3,.605,4.1,7.8,11.8,2.4,1.1,2.1,2.7,7.1,18.9,,101,102
266,Nick Weatherspoon\weathni01,SF,29,SDC,57,,1124,6.9,15.9,.434,0.0,0.0,,6.9,15.9,.434,2.7,3.8,.692,3.5,5.3,8.8,2.3,1.4,0.7,3.6,5.7,16.5,,93,110
267,Marvin Webster\webstma01,C,27,NYK,20,,298,5.7,12.0,.481,0.0,0.0,,5.7,12.0,.481,1.8,2.4,.750,4.2,7.9,12.1,1.4,0.5,1.7,3.0,5.9,13.3,,99,108
268,Scott Wedman\wedmasc01,SF,27,KCK,68,,2347,11.3,22.0,.512,0.1,0.4,.318,11.1,21.6,.516,2.9,3.6,.801,2.3,5.4,7.6,2.9,1.7,0.9,2.2,4.6,25.6,,109,102
269,Paul Westphal\westppa01,SG,29,PHO,82,,2665,11.9,22.6,.525,0.4,1.6,.280,11.4,21.0,.544,6.6,7.6,.862,0.8,2.4,3.2,7.1,2.0,0.6,3.6,2.8,30.8,,116,105
270,Jo Jo White*\whitejo01,PG,33,GSW,78,,2052,7.8,16.4,.476,0.0,0.1,.167,7.8,16.3,.479,2.3,2.7,.851,1.0,3.2,4.2,5.6,2.0,0.3,3.7,4.3,17.9,,97,108
271,Rudy White\whiteru01,SG,26,HOU,9,,106,5.8,10.7,.542,0.0,0.0,,5.8,10.7,.542,4.5,5.8,.769,0.0,4.0,4.0,2.2,2.2,0.0,3.6,3.6,16.1,,103,109
272,Jerome Whitehead\whiteje01,C,23,TOT,50,,553,5.1,10.0,.509,0.0,0.0,,5.1,10.0,.509,0.9,3.1,.286,4.9,9.7,14.6,2.1,0.7,1.5,3.2,8.5,11.0,,94,108
272,Jerome Whitehead\whiteje01,C,23,SDC,18,,225,5.7,9.5,.600,0.0,0.0,,5.7,9.5,.600,1.1,3.8,.278,6.1,8.6,14.7,1.3,0.2,1.3,1.7,6.7,12.4,,115,110
272,Jerome Whitehead\whiteje01,C,23,UTA,32,,328,4.6,10.3,.449,0.0,0.0,,4.6,10.3,.449,0.7,2.5,.294,4.0,10.5,14.5,2.7,1.0,1.6,4.2,9.7,10.0,,81,107
273,Sidney Wicks\wickssi01,PF,30,SDC,71,,2146,4.6,10.9,.423,0.0,0.0,.000,4.6,10.9,.424,1.8,3.4,.546,3.0,6.0,9.0,4.7,1.7,1.1,3.7,5.3,11.1,,90,109
274,Bob Wilkerson\wilkebo01,SF,25,DEN,75,,2381,8.3,20.0,.417,0.1,0.7,.206,8.2,19.3,.425,3.2,4.3,.748,1.6,4.5,6.1,4.7,1.8,0.5,3.7,3.8,20.0,,93,109
275,Jamaal Wilkes*\wilkeja01,SF,26,LAL,82,,3111,10.8,20.1,.535,0.0,0.3,.176,10.7,19.9,.539,2.8,3.5,.808,2.6,5.2,7.8,3.7,1.9,0.4,2.3,3.3,24.4,,115,105
276,Duck Williams\willidu01,PG,23,UTA,77,,1794,6.4,14.2,.447,0.0,0.3,.000,6.4,13.9,.458,1.2,1.6,.700,0.6,2.3,2.9,5.0,2.7,0.3,2.9,4.6,13.9,,91,111
277,Freeman Williams\willifr01,SG,23,SDC,82,,2118,14.4,30.0,.480,0.9,2.9,.328,13.5,27.2,.496,4.3,5.3,.815,2.3,2.0,4.3,3.7,1.6,0.2,3.8,3.2,34.1,,107,113
278,Gus Williams\willigu01,PG,26,SEA,82,,2969,11.7,24.3,.482,0.1,0.6,.194,11.6,23.8,.489,5.3,6.7,.788,2.0,2.4,4.4,6.3,3.2,0.6,2.9,2.5,28.8,,113,102
279,Ray Williams\willira01,PG,25,NYK,82,,2582,12.0,24.2,.496,0.1,0.6,.189,11.9,23.5,.505,5.8,7.4,.787,2.6,4.6,7.2,8.9,2.9,0.4,4.5,5.2,29.9,,111,107
280,Sly Williams\willisl01,SF,22,NYK,57,,556,8.4,21.6,.390,0.0,0.3,.000,8.4,21.3,.395,4.7,7.3,.644,5.3,4.5,9.8,2.9,1.5,0.6,4.0,5.9,21.6,,92,109
281,John Williamson\willijo01,SG,28,TOT,58,,1374,12.0,27.3,.439,0.4,1.2,.314,11.6,26.1,.445,3.9,4.6,.841,1.3,2.0,3.3,4.2,1.2,0.6,3.1,4.6,28.2,,99,108
281,John Williamson\willijo01,SG,28,NJN,28,,771,12.1,27.1,.447,0.5,1.1,.421,11.6,25.9,.448,4.5,5.2,.864,1.4,1.8,3.2,5.1,1.5,0.5,2.5,4.2,29.1,,105,107
281,John Williamson\willijo01,SG,28,WSB,30,,603,11.9,27.6,.430,0.2,1.2,.188,11.6,26.4,.441,3.1,3.9,.800,1.1,2.4,3.5,3.0,0.8,0.8,3.8,5.1,27.1,,91,110
282,Bill Willoughby\willobi01,SF,22,CLE,78,,1447,6.9,14.3,.479,0.0,0.3,.111,6.8,14.1,.487,3.0,4.0,.756,3.8,6.5,10.3,2.3,1.0,1.9,2.1,5.9,16.8,,109,106
283,Bubba Wilson\wilsobu01,SG,24,GSW,16,,143,2.3,8.3,.280,0.0,0.0,,2.3,8.3,.280,1.0,2.0,.500,2.0,3.3,5.3,4.0,0.7,0.0,2.7,3.7,5.7,,72,111
284,Rick Wilson\wilsori01,SG,23,ATL,5,,59,1.6,11.5,.143,0.0,0.0,,1.6,11.5,.143,3.3,4.9,.667,1.6,0.8,2.5,9.1,3.3,0.8,6.6,2.5,6.6,,59,104
285,Brian Winters\wintebr01,SG,27,MIL,80,,2623,9.6,19.9,.479,0.7,1.8,.373,8.9,18.1,.490,3.3,3.8,.860,0.9,3.1,4.0,6.5,1.8,0.5,3.3,3.7,23.1,,108,106
286,Larry Wright\wrighla01,PG,25,WSB,76,,1286,8.3,18.2,.458,0.1,0.6,.250,8.2,17.6,.465,3.5,3.9,.889,1.5,3.0,4.4,8.1,1.8,0.7,3.9,5.2,20.3,,102,107
287,Tony Zeno\zenoto01,SF,22,IND,8,,59,4.7,16.4,.286,0.0,0.0,,4.7,16.4,.286,1.6,1.6,1.000,2.3,8.6,10.9,0.8,3.1,2.3,7.0,10.1,10.9,,55,100
