Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Alex Abrines\abrinal01,SG,24,OKC,69,8,1029,5.2,13.0,.399,3.8,9.7,.390,1.4,3.3,.426,1.6,1.9,.872,1.2,4.0,5.1,1.3,1.7,0.4,1.2,5.5,15.8,,116,110
2,Quincy Acy\acyqu01,PF,27,BRK,63,8,1229,4.4,12.8,.341,3.4,10.2,.335,0.9,2.6,.364,1.8,2.2,.821,1.5,7.9,9.4,2.1,1.1,1.0,2.3,5.3,13.9,,96,111
3,Steven Adams\adamsst01,C,24,OKC,69,69,2249,9.2,14.4,.634,0.0,0.0,.000,9.2,14.4,.636,3.3,5.7,.572,7.8,5.9,13.7,1.7,1.9,1.7,2.5,4.4,21.6,,127,107
4,Bam Adebayo\adebaba01,C,20,MIA,64,19,1293,6.4,12.5,.514,0.0,0.3,.000,6.4,12.2,.525,4.7,6.6,.710,4.4,9.6,14.0,3.8,1.1,1.5,2.4,5.2,17.5,,117,106
5,Arron Afflalo\afflaar01,SG,32,ORL,50,3,647,4.5,11.5,.395,1.9,4.8,.391,2.6,6.6,.398,1.7,2.0,.846,0.3,4.7,5.0,2.2,0.3,0.6,1.6,4.1,12.6,,98,115
6,Cole Aldrich\aldrico01,C,29,MIN,19,0,46,5.4,16.3,.333,0.0,0.0,,5.4,16.3,.333,2.2,6.5,.333,3.3,10.9,14.1,2.2,2.2,1.1,1.1,12.0,13.0,,83,108
7,LaMarcus Aldridge\aldrila01,C,32,SAS,68,68,2265,13.8,27.1,.509,0.6,1.9,.302,13.2,25.2,.524,6.9,8.2,.835,4.9,7.7,12.6,3.1,0.8,1.8,2.3,3.3,35.0,,117,105
8,Jarrett Allen\allenja01,C,19,BRK,64,23,1244,7.9,13.6,.582,0.1,0.5,.250,7.8,13.1,.594,4.0,5.0,.797,5.2,8.2,13.4,1.8,1.0,2.6,2.8,5.0,19.9,,119,109
9,Kadeem Allen\allenka01,PG,25,BOS,11,0,32,1.6,9.4,.167,0.0,4.7,.000,1.6,4.7,.333,4.7,6.2,.750,1.6,4.7,6.2,3.1,1.6,0.0,4.7,3.1,7.8,,64,106
10,Tony Allen\allento01,SF,36,NOP,22,0,273,7.7,15.9,.484,0.7,2.1,.333,7.0,13.8,.506,1.9,3.7,.524,3.5,4.7,8.2,1.6,1.9,0.5,3.3,8.6,18.0,,95,110
11,Al-Farouq Aminu\aminual01,PF,27,POR,61,59,1837,5.6,14.0,.403,3.2,8.1,.390,2.5,5.9,.421,1.4,2.0,.736,2.3,10.2,12.4,2.1,1.8,1.0,1.7,3.2,15.9,,108,105
12,Justin Anderson\anderju01,SF,24,PHI,33,0,464,7.7,18.1,.425,2.9,9.0,.326,4.8,9.2,.523,2.3,3.1,.733,2.1,6.1,8.2,2.4,1.4,0.5,1.5,5.3,20.6,,109,108
13,Kyle Anderson\anderky01,SF,24,SAS,67,61,1795,5.9,11.3,.523,0.4,1.4,.306,5.5,9.9,.553,2.7,3.7,.722,2.2,8.3,10.6,5.2,2.9,1.5,2.6,2.8,14.9,,112,101
14,Ryan Anderson\anderry01,PF,29,HOU,63,50,1685,6.0,13.9,.433,3.8,9.8,.386,2.2,4.1,.547,2.0,2.6,.778,2.7,6.7,9.4,1.7,0.7,0.6,1.3,3.5,17.8,,121,109
15,Ike Anigbogu\anigbik01,C,19,IND,10,0,28,7.1,16.1,.444,0.0,0.0,,7.1,16.1,.444,8.9,10.7,.833,8.9,7.1,16.1,0.0,1.8,5.4,3.6,1.8,23.2,,114,102
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,69,69,2552,13.5,25.4,.533,0.8,2.5,.313,12.7,22.9,.557,9.0,11.9,.759,2.8,10.7,13.5,6.5,2.0,2.0,4.0,4.1,36.8,,117,106
17,Carmelo Anthony\anthoca01,PF,33,OKC,71,71,2283,9.5,23.4,.405,3.3,9.3,.355,6.2,14.1,.438,3.0,3.9,.764,1.2,7.8,9.0,2.0,0.9,1.0,2.0,3.9,25.2,,103,109
18,OG Anunoby\anunoog01,SF,20,TOR,67,55,1338,5.3,11.5,.458,2.3,6.5,.358,2.9,5.0,.588,1.3,2.0,.636,1.4,4.4,5.8,1.9,1.8,0.4,1.5,4.2,14.1,,111,108
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,16,0,148,2.0,5.3,.375,1.3,4.6,.286,0.7,0.7,1.000,1.3,1.3,1.000,0.0,3.0,3.0,5.0,2.0,0.0,1.0,3.3,6.6,,120,113
20,Trevor Ariza\arizatr01,SF,32,HOU,62,62,2119,5.8,14.0,.417,3.8,10.1,.380,2.0,3.9,.512,1.7,2.0,.871,0.8,5.7,6.5,2.3,2.1,0.3,1.2,2.9,17.2,,116,107
