Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Alex Abrines\abrinal01,SG,24,OKC,65,8,998,5.1,13.0,.391,3.6,9.7,.376,1.4,3.3,.433,1.7,1.9,.872,1.2,4.0,5.2,1.2,1.7,0.4,1.2,5.3,15.5,,114,110
2,Quincy Acy\acyqu01,PF,27,BRK,60,8,1165,4.3,12.6,.338,3.3,9.9,.328,1.0,2.7,.375,1.9,2.3,.821,1.5,7.9,9.4,1.9,1.2,0.8,2.4,5.3,13.7,,95,111
3,Steven Adams\adamsst01,C,24,OKC,65,65,2112,9.0,14.3,.632,0.0,0.0,.000,9.0,14.2,.634,3.0,5.3,.569,7.8,6.0,13.8,1.6,2.0,1.7,2.5,4.5,21.1,,126,106
4,Bam Adebayo\adebaba01,C,20,MIA,60,15,1211,6.4,12.3,.520,0.0,0.3,.000,6.4,12.0,.533,4.8,6.6,.723,4.3,9.7,14.0,3.9,1.2,1.6,2.2,5.1,17.6,,119,105
5,Arron Afflalo\afflaar01,SG,32,ORL,47,2,597,4.6,11.5,.397,1.9,4.8,.390,2.7,6.7,.402,1.6,2.0,.833,0.2,4.8,5.1,2.1,0.2,0.6,1.5,4.1,12.7,,98,116
6,Cole Aldrich\aldrico01,C,29,MIN,16,0,32,4.7,17.2,.273,0.0,0.0,,4.7,17.2,.273,3.1,6.3,.500,4.7,7.8,12.5,1.6,3.1,1.6,1.6,11.0,12.5,,80,106
7,LaMarcus Aldridge\aldrila01,C,32,SAS,62,62,2073,13.2,26.6,.498,0.6,2.0,.309,12.6,24.6,.513,6.5,7.8,.829,5.0,7.5,12.5,3.1,0.8,1.7,2.3,3.3,33.5,,115,105
8,Jarrett Allen\allenja01,C,19,BRK,59,18,1120,8.3,14.2,.584,0.1,0.5,.273,8.2,13.7,.595,3.8,4.9,.786,5.3,8.2,13.5,1.8,1.0,2.3,2.9,5.0,20.5,,119,109
9,Kadeem Allen\allenka01,PG,25,BOS,8,0,27,1.9,11.1,.167,0.0,5.6,.000,1.9,5.6,.333,5.6,7.4,.750,1.9,3.7,5.6,1.9,1.9,0.0,5.6,3.7,9.3,,60,106
10,Tony Allen\allento01,SF,36,NOP,22,0,273,7.7,15.9,.484,0.7,2.1,.333,7.0,13.8,.506,1.9,3.7,.524,3.5,4.7,8.2,1.6,1.9,0.5,3.3,8.6,18.0,,95,110
11,Al-Farouq Aminu\aminual01,PF,27,POR,55,53,1638,5.4,13.7,.397,3.0,7.8,.389,2.4,5.9,.407,1.4,1.9,.738,2.2,10.1,12.3,1.8,1.5,1.0,1.8,3.1,15.3,,106,105
12,Justin Anderson\anderju01,SF,24,PHI,29,0,387,8.0,18.1,.444,3.3,8.8,.371,4.8,9.3,.514,2.1,3.1,.680,2.1,6.1,8.3,1.9,1.5,0.6,1.3,5.5,21.4,,112,108
13,Kyle Anderson\anderky01,SF,24,SAS,61,55,1661,5.9,11.4,.516,0.4,1.3,.273,5.5,10.0,.548,2.9,3.9,.729,2.1,8.3,10.4,5.2,2.8,1.5,2.5,2.8,14.9,,112,101
14,Ryan Anderson\anderry01,PF,29,HOU,57,50,1570,6.0,13.8,.433,3.7,9.8,.383,2.2,4.1,.554,2.0,2.6,.783,2.7,6.8,9.5,1.7,0.7,0.6,1.3,3.3,17.8,,121,110
15,Ike Anigbogu\anigbik01,C,19,IND,10,0,28,7.1,16.0,.444,0.0,0.0,,7.1,16.0,.444,8.9,10.7,.833,8.9,7.1,16.0,0.0,1.8,5.3,3.6,1.8,23.1,,114,103
16,Giannis Antetokounmpo\antetgi01,PF,23,MIL,64,64,2379,13.5,25.4,.531,0.7,2.4,.301,12.8,23.1,.554,9.1,12.0,.756,2.8,10.8,13.6,6.4,2.0,1.9,4.0,4.1,36.8,,117,106
17,Carmelo Anthony\anthoca01,PF,33,OKC,67,67,2155,9.7,23.8,.407,3.4,9.4,.359,6.3,14.3,.438,3.1,4.0,.769,1.3,7.8,9.1,2.0,0.9,1.0,2.0,4.0,25.8,,104,109
18,OG Anunoby\anunoog01,SF,20,TOR,61,49,1247,5.2,11.4,.455,2.3,6.6,.351,2.9,4.8,.598,1.4,2.0,.686,1.4,4.4,5.8,1.9,1.9,0.4,1.5,4.1,14.1,,112,107
19,Ryan Arcidiacono\arcidry01,PG,23,CHI,13,0,120,2.0,4.9,.417,1.2,4.1,.300,0.8,0.8,1.000,0.8,0.8,1.000,0.0,2.9,2.9,5.3,2.0,0.0,1.2,4.1,6.1,,118,112
20,Trevor Ariza\arizatr01,SF,32,HOU,55,55,1900,5.8,13.7,.421,3.7,9.9,.376,2.1,3.8,.537,1.7,1.9,.867,0.8,5.7,6.5,2.2,2.1,0.3,1.3,2.8,17.0,,115,107
21,Darrell Arthur\arthuda01,PF,29,DEN,18,1,133,7.8,16.7,.467,2.6,7.8,.333,5.2,8.9,.583,0.7,1.1,.667,1.1,4.5,5.6,3.3,3.0,0.7,5.6,7.4,18.9,,88,109
