Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
421,Tristan Thompson\thomptr01,C,27,CLE,27,27,819,8.6,15.7,.551,0.0,0.0,,8.6,15.7,.551,2.5,4.1,.612,8.3,11.0,19.2,3.5,1.3,0.7,2.4,3.8,19.8,,121,114
422,Sindarius Thornwell\thornsi01,SG,24,LAC,18,0,110,3.5,8.3,.421,0.4,3.0,.143,3.0,5.2,.583,1.7,1.7,1.000,0.4,8.7,9.1,3.9,0.4,0.9,3.5,8.7,9.1,,87,113
423,Anthony Tolliver\tollian01,PF,33,MIN,21,0,299,4.7,11.1,.420,3.7,9.7,.383,1.0,1.4,.667,1.4,2.3,.643,1.1,5.6,6.8,2.3,1.1,1.3,1.9,5.3,14.5,,110,114
424,Karl-Anthony Towns\townska01,C,23,MIN,33,33,1097,10.9,22.5,.483,2.5,6.7,.379,8.3,15.8,.528,6.0,7.0,.855,4.3,12.2,16.5,3.8,1.3,2.5,4.5,5.3,30.3,,111,108
425,Gary Trent\trentga02,SG,20,POR,3,0,20,9.7,31.5,.308,4.9,12.1,.400,4.9,19.4,.250,0.0,4.9,.000,0.0,9.7,9.7,0.0,0.0,0.0,2.4,2.4,24.3,,70,114
426,Allonzo Trier\trieral01,SG,23,NYK,27,3,628,7.9,16.8,.470,1.4,3.5,.391,6.5,13.3,.491,6.1,7.5,.816,1.2,5.2,6.4,3.8,0.8,0.8,3.9,3.3,23.3,,107,117
427,P.J. Tucker\tuckepj01,PF,33,HOU,32,32,1118,4.2,9.7,.431,2.9,7.1,.414,1.3,2.7,.475,0.5,0.9,.632,2.2,7.1,9.3,1.5,1.6,0.5,1.3,4.4,11.8,,117,113
428,Evan Turner\turneev01,PG,30,POR,32,0,815,6.6,14.3,.463,0.2,1.8,.133,6.4,12.5,.510,1.8,2.7,.652,1.3,8.2,9.5,7.9,1.3,0.7,3.7,3.9,15.2,,100,111
429,Myles Turner\turnemy01,C,22,IND,33,33,930,9.2,18.7,.492,1.1,3.2,.350,8.1,15.5,.520,2.8,3.9,.716,2.6,10.3,12.9,2.9,0.7,5.0,2.9,4.6,22.3,,104,99
430,Ekpe Udoh\udohek01,C,31,UTA,21,0,120,6.8,8.0,.850,0.0,0.0,,6.8,8.0,.850,2.0,4.0,.500,2.0,8.0,10.0,3.2,1.2,4.0,2.4,6.8,15.7,,131,103
431,Tyler Ulis\ulisty01,PG,23,CHI,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,120
432,Jonas Valanciunas\valanjo01,C,26,TOR,30,10,564,12.8,22.2,.575,0.8,2.6,.300,12.0,19.6,.611,6.6,8.1,.819,4.6,13.9,18.5,2.5,1.1,2.0,3.3,7.0,32.9,,122,103
433,Fred VanVleet\vanvlfr01,PG,24,TOR,30,8,767,7.0,16.8,.416,2.9,8.1,.359,4.1,8.8,.468,2.0,2.5,.775,0.8,3.8,4.7,8.4,1.9,0.4,2.4,3.0,18.9,,112,110
434,Noah Vonleh\vonleno01,PF,23,NYK,34,27,904,5.3,11.3,.469,1.4,3.7,.377,3.9,7.7,.514,2.8,4.0,.707,3.4,11.6,15.0,4.1,1.3,1.7,2.4,4.7,14.9,,114,111
435,Nikola Vucevic\vucevni01,C,28,ORL,31,31,959,13.3,25.3,.523,1.9,4.9,.389,11.4,20.4,.556,3.7,4.5,.818,4.2,14.7,18.9,5.8,1.5,1.8,3.3,3.3,32.2,,115,105
436,Dwyane Wade\wadedw01,SG,37,MIA,24,0,612,9.8,24.2,.407,2.8,8.3,.337,7.1,16.0,.443,4.6,6.5,.707,1.8,5.1,6.9,7.1,1.0,1.0,4.3,3.2,27.1,,101,110
437,Moritz Wagner\wagnemo01,C,21,LAL,9,0,57,9.0,23.0,.393,4.9,10.7,.462,4.1,12.3,.333,2.5,4.9,.500,2.5,9.0,11.5,4.1,0.8,0.0,3.3,7.4,25.4,,99,110
438,Kemba Walker\walkeke02,PG,28,CHO,32,32,1106,11.7,27.4,.426,4.5,12.9,.349,7.2,14.6,.494,6.8,8.2,.830,0.6,5.4,6.0,8.7,1.9,0.7,3.5,2.2,34.7,,112,111
439,John Wall\walljo01,PG,28,WAS,31,31,1066,10.5,23.7,.443,2.2,7.2,.302,8.3,16.5,.504,5.4,7.7,.695,0.7,4.2,4.9,12.1,2.2,1.2,5.1,3.1,28.6,,104,115
440,Tyrone Wallace\wallaty01,PG,24,LAC,23,0,201,9.0,19.5,.463,0.0,1.7,.000,9.0,17.8,.507,2.4,5.0,.476,1.9,5.2,7.1,2.9,1.4,0.5,2.4,6.2,20.5,,95,114
441,Taurean Waller-Prince\princta02,SF,24,ATL,21,20,602,8.4,19.4,.431,3.9,10.6,.367,4.5,8.8,.509,3.4,4.1,.833,0.5,5.9,6.3,3.6,1.8,0.5,4.1,4.7,24.0,,99,113
442,Brad Wanamaker\wanambr01,PG,29,BOS,13,0,96,6.6,14.6,.448,2.0,5.6,.364,4.5,9.1,.500,2.5,3.0,.833,0.0,5.6,5.6,9.1,1.5,0.0,4.0,2.0,17.7,,105,108
443,T.J. Warren\warretj01,SF,25,PHO,28,21,861,11.1,22.1,.501,2.9,6.6,.432,8.2,15.5,.531,3.8,4.6,.829,1.2,5.5,6.7,2.3,1.6,1.2,1.7,4.4,28.9,,115,113
444,Yuta Watanabe\watanyu01,SG,24,MEM,3,0,16,3.2,9.5,.333,0.0,3.2,.000,3.2,6.3,.500,6.3,6.3,1.000,0.0,15.9,15.9,0.0,0.0,3.2,3.2,0.0,12.7,,85,104
445,Thomas Welsh\welshth01,C,22,DEN,7,0,22,11.3,22.5,.500,6.8,15.8,.429,4.5,6.8,.667,0.0,0.0,,0.0,6.8,6.8,6.8,0.0,0.0,2.3,2.3,29.3,,124,113
446,Russell Westbrook\westbru01,PG,30,OKC,24,24,819,10.9,25.5,.427,1.5,6.4,.243,9.3,19.1,.488,4.5,7.4,.605,1.9,12.9,14.8,14.1,3.6,0.3,6.2,5.0,27.8,,101,97
447,Derrick White\whitede01,PG,24,SAS,25,13,536,5.6,13.8,.407,0.9,3.7,.250,4.7,10.1,.464,1.4,1.7,.789,0.6,5.8,6.3,8.1,1.7,0.6,3.6,3.5,13.5,,94,111
448,Okaro White\whiteok01,PF,26,WAS,3,0,6,0.0,15.8,.000,0.0,15.8,.000,0.0,0.0,,0.0,0.0,,7.9,7.9,15.8,0.0,0.0,0.0,0.0,0.0,0.0,,40,119
449,Hassan Whiteside\whiteha01,C,29,MIA,27,27,715,10.2,19.9,.512,0.1,0.9,.154,10.1,19.0,.529,3.6,8.1,.445,7.5,16.7,24.2,1.6,1.2,4.8,3.2,5.4,24.1,,104,98
450,Andrew Wiggins\wiggian01,SF,23,MIN,29,29,965,8.9,21.9,.405,2.5,6.9,.360,6.4,15.0,.425,3.9,5.2,.752,1.1,4.8,6.0,3.2,1.8,0.7,2.6,2.9,24.2,,99,114
