Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Alex Abrines\abrinal01,SG,25,OKC,16,0,318,4.6,13.4,.344,3.3,10.2,.319,1.3,3.1,.429,1.2,1.3,.889,0.3,3.1,3.4,1.8,1.6,0.6,1.2,4.6,13.7,,102,108
2,Jaylen Adams\adamsja01,PG,22,ATL,4,0,13,3.5,14.1,.250,3.5,14.1,.250,0.0,0.0,,0.0,0.0,,0.0,7.0,7.0,3.5,0.0,3.5,0.0,0.0,10.5,,89,114
3,Steven Adams\adamsst01,C,25,OKC,18,18,616,9.0,15.3,.593,0.0,0.0,,9.0,15.3,.593,3.3,6.3,.524,7.1,7.4,14.5,2.4,2.1,1.2,2.0,3.4,21.4,,124,104
4,Bam Adebayo\adebaba01,C,21,MIA,19,1,361,6.6,12.8,.515,0.0,0.4,.000,6.6,12.4,.532,6.0,8.5,.703,5.0,12.7,17.7,3.0,1.5,2.0,2.9,6.2,19.2,,116,105
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,5,0,18,5.5,21.9,.250,0.0,11.0,.000,5.5,11.0,.500,2.7,5.5,.500,2.7,5.5,8.2,8.2,2.7,0.0,2.7,11.0,13.7,,76,105
6,LaMarcus Aldridge\aldrila01,C,33,SAS,20,20,701,9.9,22.9,.431,0.0,0.6,.000,9.9,22.2,.443,5.5,6.8,.806,5.3,9.9,15.2,3.6,0.6,1.7,2.8,2.7,25.2,,105,110
7,Grayson Allen\allengr01,SG,23,UTA,14,1,147,6.2,18.1,.345,3.3,11.5,.286,3.0,6.6,.450,5.3,7.6,.696,0.3,0.7,1.0,2.0,0.3,0.0,3.3,5.3,21.1,,91,117
8,Jarrett Allen\allenja01,C,20,BRK,19,19,521,8.6,14.7,.586,0.2,1.4,.133,8.4,13.3,.634,4.7,6.9,.676,5.2,9.7,14.9,2.7,1.0,2.9,2.0,4.7,22.1,,127,109
9,Al-Farouq Aminu\aminual01,PF,28,POR,20,20,589,4.4,11.6,.378,2.2,6.7,.325,2.2,4.9,.450,2.4,2.8,.853,2.1,11.3,13.4,0.7,1.6,0.7,1.2,4.0,13.3,,109,107
10,Justin Anderson\anderju01,SG,25,ATL,3,0,34,9.4,20.2,.467,0.0,8.1,.000,9.4,12.1,.778,5.4,6.7,.800,0.0,2.7,2.7,0.0,4.0,1.3,2.7,6.7,24.2,,93,109
11,Kyle Anderson\anderky01,SF,25,MEM,19,16,574,4.3,9.6,.450,0.3,1.0,.273,4.0,8.6,.469,1.1,2.1,.500,1.8,9.0,10.8,4.9,2.1,1.2,2.2,3.9,9.9,,98,103
12,Ryan Anderson\anderry01,PF,30,PHO,12,8,245,3.5,11.0,.321,1.4,6.1,.226,2.2,4.9,.440,2.2,2.8,.786,2.4,5.5,7.9,3.1,0.6,0.2,2.0,3.9,10.6,,93,118
13,Ike Anigbogu\anigbik01,C,20,IND,3,0,6,0.0,24.6,.000,0.0,0.0,,0.0,24.6,.000,0.0,0.0,,8.2,16.4,24.6,8.2,0.0,8.2,8.2,0.0,0.0,,33,95
14,Giannis Antetokounmpo\antetgi01,PF,24,MIL,19,19,641,14.1,24.7,.572,0.4,3.5,.125,13.7,21.2,.645,8.2,12.1,.683,3.5,14.3,17.9,8.1,2.0,1.8,5.9,4.3,36.9,,116,100
15,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,8.4,20.7,.405,3.6,10.9,.328,4.8,9.7,.491,2.6,3.8,.682,1.5,7.7,9.2,0.9,0.7,1.2,1.4,5.5,22.9,,104,115
16,OG Anunoby\anunoog01,SF,21,TOR,15,3,332,8.2,17.2,.475,2.7,8.6,.317,5.4,8.6,.633,0.6,1.7,.333,1.4,3.9,5.3,1.3,1.6,0.7,1.3,5.6,19.6,,108,109
17,Ryan Arcidiacono\arcidry01,PG,24,CHI,20,9,566,4.5,9.6,.469,3.0,6.7,.443,1.5,2.9,.529,0.8,1.2,.714,0.3,4.2,4.4,7.1,1.4,0.1,1.4,4.4,12.8,,125,114
18,Trevor Ariza\arizatr01,SF,33,PHO,17,17,591,4.4,11.8,.372,2.8,7.7,.358,1.6,4.1,.400,2.3,2.7,.848,0.6,7.1,7.7,4.8,1.5,0.6,2.1,2.7,13.9,,104,114
19,D.J. Augustin\augusdj01,PG,31,ORL,21,21,574,5.9,13.4,.443,2.9,6.6,.436,3.0,6.8,.450,3.6,4.2,.860,1.0,3.1,4.1,9.6,0.9,0.0,2.0,2.2,18.3,,125,115
