Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1,Alex Abrines\abrinal01,SG,25,OKC,12,0,275,5.0,13.6,.367,3.4,10.1,.339,1.5,3.4,.450,1.0,1.2,.857,0.3,3.1,3.4,1.5,1.5,0.5,1.0,3.8,14.4,,106,109
2,Jaylen Adams\adamsja01,PG,22,ATL,4,0,13,3.5,13.9,.250,3.5,13.9,.250,0.0,0.0,,0.0,0.0,,0.0,7.0,7.0,3.5,0.0,3.5,0.0,0.0,10.5,,90,113
3,Steven Adams\adamsst01,C,25,OKC,11,11,371,8.2,13.8,.593,0.0,0.0,,8.2,13.8,.593,4.1,7.8,.525,6.9,8.2,15.0,2.3,1.9,1.5,1.9,3.4,20.4,,124,104
4,Bam Adebayo\adebaba01,C,21,MIA,12,1,216,5.9,11.0,.540,0.0,0.4,.000,5.9,10.5,.563,5.3,7.2,.727,5.3,10.3,15.6,2.4,1.5,1.3,2.9,7.0,17.1,,118,106
5,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,3,0,7,7.1,21.2,.333,0.0,7.1,.000,7.1,14.1,.500,7.1,14.1,.500,7.1,0.0,7.1,0.0,0.0,0.0,0.0,7.1,21.2,,98,115
6,LaMarcus Aldridge\aldrila01,C,33,SAS,11,11,391,10.4,24.1,.432,0.0,0.6,.000,10.4,23.5,.444,5.9,7.5,.783,5.2,8.4,13.6,4.0,0.5,1.5,2.5,2.9,26.8,,106,109
7,Grayson Allen\allengr01,SG,23,UTA,8,1,90,6.4,15.6,.414,3.2,10.2,.316,3.2,5.4,.600,5.4,7.0,.769,0.0,1.1,1.1,1.6,0.0,0.0,1.1,4.3,21.5,,115,119
8,Jarrett Allen\allenja01,C,20,BRK,13,13,343,8.5,14.1,.602,0.3,1.3,.222,8.2,12.8,.640,4.0,6.6,.609,4.6,10.1,14.7,3.3,1.3,3.6,2.3,3.7,21.3,,124,107
9,Al-Farouq Aminu\aminual01,PF,28,POR,13,13,376,4.6,11.3,.409,2.1,5.8,.356,2.6,5.5,.465,2.8,3.3,.846,2.1,12.4,14.5,0.6,1.7,0.6,0.9,4.0,14.1,,118,102
10,Kyle Anderson\anderky01,SF,25,MEM,11,8,290,4.4,10.1,.431,0.2,0.7,.250,4.2,9.4,.444,1.9,3.3,.579,2.6,9.2,11.9,4.0,2.6,0.7,3.0,3.1,10.8,,93,103
11,Ryan Anderson\anderry01,PF,30,PHO,11,8,238,3.7,11.2,.327,1.4,6.1,.233,2.2,5.1,.440,2.2,2.9,.786,2.4,5.5,7.9,3.3,0.6,0.0,2.0,3.7,11.0,,94,118
12,Ike Anigbogu\anigbik01,C,20,IND,1,0,3,0.0,33.1,.000,0.0,0.0,,0.0,33.1,.000,0.0,0.0,,0.0,16.6,16.6,0.0,0.0,16.6,16.6,0.0,0.0,,0,86
13,Giannis Antetokounmpo\antetgi01,PF,24,MIL,12,12,391,14.3,26.0,.550,0.2,3.1,.077,14.1,23.0,.613,7.2,10.9,.663,3.7,14.8,18.5,8.2,2.0,1.9,6.6,4.9,36.1,,110,99
14,Carmelo Anthony\anthoca01,PF,34,HOU,10,2,294,8.3,20.4,.405,3.5,10.8,.328,4.7,9.6,.491,2.5,3.7,.682,1.5,7.6,9.1,0.8,0.7,1.2,1.4,5.4,22.6,,103,113
15,OG Anunoby\anunoog01,SF,21,TOR,10,3,240,7.5,15.2,.494,2.4,7.3,.324,5.1,7.9,.650,0.2,0.6,.333,1.6,4.1,5.7,1.0,1.2,0.6,1.2,5.3,17.6,,112,110
16,Ryan Arcidiacono\arcidry01,PG,24,CHI,12,1,299,4.7,8.8,.537,3.1,5.9,.528,1.6,2.9,.556,1.1,1.6,.700,0.2,3.4,3.6,8.7,1.6,0.2,1.6,4.6,13.7,,138,116
17,Trevor Ariza\arizatr01,SF,33,PHO,12,12,407,4.6,12.5,.371,2.7,8.0,.343,1.9,4.5,.421,2.9,3.2,.889,0.7,7.5,8.2,4.9,1.1,0.5,2.4,2.5,14.9,,104,115
18,D.J. Augustin\augusdj01,PG,31,ORL,13,13,348,5.8,13.7,.424,3.0,7.1,.431,2.8,6.7,.417,3.9,4.3,.903,1.4,3.0,4.4,8.3,1.2,0.0,1.9,1.8,18.6,,124,114
19,Deandre Ayton\aytonde01,C,20,PHO,12,12,390,10.4,17.3,.604,0.0,0.0,,10.4,17.3,.604,3.1,4.1,.758,4.1,12.2,16.3,4.5,1.0,1.1,3.0,3.9,24.0,,119,112
20,Dwayne Bacon\bacondw01,SG,23,CHO,6,0,51,8.5,14.1,.600,3.8,6.6,.571,4.7,7.5,.625,8.5,9.4,.900,0.9,2.8,3.8,3.8,1.9,0.0,0.0,7.5,29.2,,170,111
21,Marvin Bagley\baglema01,PF,19,SAC,13,0,294,9.4,18.5,.508,1.1,2.2,.500,8.3,16.3,.509,4.8,8.0,.596,4.9,6.8,11.7,1.7,1.1,2.5,4.3,4.0,24.6,,103,109
22,Ron Baker\bakerro01,SG,25,NYK,8,0,87,0.6,6.2,.091,0.0,4.5,.000,0.6,1.7,.333,2.8,3.4,.833,0.6,3.4,3.9,4.5,1.7,0.0,1.1,7.3,3.9,,77,114
23,Wade Baldwin\baldwwa01,PG,22,POR,3,0,15,0.0,16.1,.000,0.0,6.4,.000,0.0,9.6,.000,0.0,0.0,,0.0,9.6,9.6,6.4,0.0,0.0,9.6,3.2,0.0,,16,109
24,Lonzo Ball\balllo01,PG,21,LAL,13,11,334,5.6,13.6,.414,2.9,8.0,.362,2.8,5.6,.488,1.1,1.8,.615,1.4,7.2,8.5,8.8,2.2,0.1,2.9,3.4,15.3,,110,110
25,Mohamed Bamba\bambamo01,C,20,ORL,13,0,250,8.1,15.1,.538,1.4,4.6,.292,6.8,10.4,.648,1.2,2.3,.500,3.7,10.2,13.9,3.1,0.6,4.2,1.7,5.0,18.7,,115,105
26,J.J. Barea\bareajo01,PG,34,DAL,12,0,220,8.5,24.4,.348,2.2,7.8,.278,6.3,16.6,.382,3.9,5.4,.720,1.1,4.4,5.4,15.5,1.5,0.0,3.9,4.6,23.1,,103,115
27,Harrison Barnes\barneha02,SF,26,DAL,8,8,244,7.9,20.8,.377,2.6,7.9,.325,5.3,13.0,.409,4.5,5.9,.767,1.2,6.5,7.7,2.0,1.2,0.4,3.1,4.3,22.8,,94,114
28,Will Barton\bartowi01,SG,28,DEN,2,2,54,11.0,19.2,.571,4.6,8.2,.556,6.4,11.0,.583,3.7,3.7,1.000,0.0,9.2,9.2,5.5,0.9,1.8,2.7,4.6,30.2,,133,106
29,Keita Bates-Diop\bateske01,SF,23,MIN,2,0,18,5.3,21.1,.250,0.0,10.6,.000,5.3,10.6,.500,0.0,0.0,,0.0,7.9,7.9,0.0,0.0,2.6,0.0,2.6,10.6,,56,118
30,Nicolas Batum\batumni01,SF,30,CHO,13,13,416,5.5,12.1,.457,2.5,6.2,.407,3.0,5.9,.510,0.8,1.0,.778,1.4,7.8,9.2,5.8,1.8,0.9,3.3,2.5,14.4,,106,107
31,Aron Baynes\baynear01,C,32,BOS,10,1,135,6.8,16.2,.422,2.5,7.6,.333,4.3,8.6,.500,4.0,5.0,.786,5.4,6.8,12.2,2.9,0.4,0.7,1.8,6.8,20.1,,116,107
32,Kent Bazemore\bazemke01,SG,29,ATL,13,13,371,8.4,18.0,.469,2.4,7.6,.323,6.0,10.4,.576,3.9,5.3,.744,1.2,5.5,6.7,3.4,2.9,1.5,3.7,4.4,23.2,,103,109
33,Bradley Beal\bealbr01,SG,25,WAS,12,12,410,11.2,23.8,.473,3.9,10.9,.358,7.3,12.9,.571,4.7,6.1,.774,0.6,5.5,6.1,5.0,1.4,1.6,3.4,4.6,31.1,,110,117
34,Malik Beasley\beaslma01,SG,22,DEN,13,0,237,7.1,16.5,.430,2.7,7.9,.342,4.4,8.6,.512,0.2,0.2,1.000,0.4,5.6,6.0,2.1,0.8,0.2,2.1,4.2,17.1,,98,110
35,Michael Beasley\beaslmi01,PF,30,LAL,3,0,10,4.6,13.8,.333,0.0,0.0,,4.6,13.8,.333,4.6,9.2,.500,4.6,9.2,13.8,0.0,0.0,0.0,9.2,13.8,13.8,,61,113
36,Marco Belinelli\belinma01,SG,32,SAS,11,0,245,8.4,21.5,.393,3.4,10.2,.333,5.0,11.2,.446,4.4,5.0,.880,0.6,4.0,4.6,3.8,1.8,0.2,2.0,3.4,24.7,,105,110
37,Jordan Bell\belljo01,C,24,GSW,12,1,165,3.2,5.8,.550,0.0,0.0,,3.2,5.8,.550,1.7,2.6,.667,1.7,8.3,10.1,3.2,2.0,3.7,1.2,6.0,8.1,,124,105
38,DeAndre' Bembry\bembrde01,SG,24,ATL,13,1,319,5.5,13.6,.406,1.6,4.1,.379,4.0,9.5,.418,2.4,4.5,.531,1.1,8.2,9.4,4.3,2.3,1.1,3.1,4.3,15.1,,92,109
39,Dragan Bender\bendedr01,PF,21,PHO,4,0,14,6.9,13.8,.500,0.0,3.5,.000,6.9,10.4,.667,0.0,0.0,,6.9,10.4,17.3,0.0,0.0,0.0,6.9,3.5,13.8,,77,117
40,Davis Bertans\bertada01,PF,26,SAS,11,2,193,6.1,13.0,.471,4.6,9.9,.462,1.5,3.1,.500,1.8,1.8,1.000,1.5,5.3,6.9,3.3,0.8,1.3,1.0,3.3,18.6,,134,110
